,"""id","""""client_id""""","""""mailing_date""""","""""subject""""","""""delivered""""","""""opened"""""
68,"""190893","""""3563""""","""""2015-04-05 00:00:00""""","""""The Gift That Keeps Giving 25% Off Last Chance. Happy Easter Sale Ends Today.""""","""""8607""""","""""630"""""
70,"""190890","""""3563""""","""""2015-04-04 00:00:00""""","""""25% Off Continuesâ€¦ Not Only Fridays Are Good.""""","""""471""""","""""169"""""
71,"""190891","""""3563""""","""""2015-04-05 00:00:00""""","""""The Gift That Keeps Giving 25% Off Last Chance. Happy Easter Sale Ends Today.""""","""""106170""""","""""14029"""""
72,"""190889","""""3563""""","""""2015-04-04 00:00:00""""","""""25% Off Continuesâ€¦ Not Only Fridays Are Good.""""","""""2878""""","""""769"""""
74,"""190886","""""3563""""","""""2015-04-02 00:00:00""""","""""Gold Medal Winning Barossa Shiraz Under $10.""""","""""2882""""","""""748"""""
75,"""190887","""""3563""""","""""2015-04-04 00:00:00""""","""""25% Off Continuesâ€¦ Not Only Fridays Are Good.""""","""""106217""""","""""14113"""""
76,"""190885","""""3563""""","""""2015-04-01 00:00:00""""","""""75% Off Further Discounted Heathcote Shiraz Priced To Clear.""""","""""8655""""","""""644"""""
79,"""190882","""""3563""""","""""2015-03-31 00:00:00""""","""""Flash Sale: Best Priced Neil Pike Produced Wines Ever In Australia + Lenswood Adelaide Hills Sauv Blanc Marked Down.""""","""""2886""""","""""795"""""
80,"""190880","""""3563""""","""""2015-03-30 00:00:00""""","""""67% Off | Museum Wines | Gold Medal | Free Delivery""""","""""8681""""","""""636"""""
81,"""190881","""""3563""""","""""2015-03-31 00:00:00""""","""""Up To 80% Off With March Madness Top 5 Deals For Today Only.""""","""""106521""""","""""14586"""""
82,"""190879","""""3563""""","""""2015-03-28 00:00:00""""","""""$24 Off All Orders For 24 Hours.""""","""""11203""""","""""1520"""""
83,"""190877","""""3563""""","""""2015-03-30 00:00:00""""","""""67% Off | Museum Wines | Gold Medal | Free Delivery""""","""""106575""""","""""14069"""""
84,"""190878","""""3563""""","""""2015-03-28 00:00:00""""","""""ðŸ’µ  Your $24 Off Code Is Waiting... ðŸ’µ""""","""""84280""""","""""13992"""""
85,"""190876","""""3563""""","""""2015-03-29 00:00:00""""","""""More Sunday Session Barossa & Eden Valley Deals A Third Of The Price.""""","""""2892""""","""""769"""""
87,"""190873","""""3563""""","""""2015-03-29 00:00:00""""","""""Colonial 93 Pt Multi Gold Medal Barossa Shiraz $9.99"","" Priced To Sell Out.""""","""""8708""""","""""648"""""
88,"""190874","""""3563""""","""""2015-03-28 00:00:00""""","""""ðŸ’µ  Your $24 Off Code Is Waiting... ðŸ’µ""""","""""11200""""","""""1852"""""
89,"""190872","""""3563""""","""""2015-03-29 00:00:00""""","""""Colonial 93 Pt Multi Gold Medal Barossa Shiraz $9.99"","" Priced To Sell Out.""""","""""106652""""","""""14262"""""
90,"""190871","""""3563""""","""""2015-03-28 00:00:00""""","""""ðŸ’µ  Your $24 Off Code Is Waiting... ðŸ’µ""""","""""8717""""","""""756"""""
91,"""190870","""""3563""""","""""2015-03-27 00:00:00""""","""""Museum Penfolds In Our Finest 6 Pack Ever Offered Plus BVE & 4 Gold Medal Winning Wines Rated Up To 95 Points.""""","""""2896""""","""""785"""""
93,"""190868","""""3563""""","""""2015-03-26 00:00:00""""","""""Clearance Alert: 24 Hours Up To 68% Off Barossa And Clare Valley Red Wines.""""","""""2897""""","""""830"""""
95,"""190866","""""3563""""","""""2015-03-26 00:00:00""""","""""2012 Vintage Barossa Shiraz $7.99 Per Bottle"","" Plus It's Back... Marlborough Sauv Blanc At $5.99 A Bottle.""""","""""106840""""","""""13993"""""
96,"""190865","""""3563""""","""""2015-03-25 00:00:00""""","""""Cool Climate Pinot Noir $4.99 A Bottle And Sieur French Sparkling Sale On Again.""""","""""2897""""","""""749"""""
99,"""190862","""""3563""""","""""2015-03-24 00:00:00""""","""""VIP Special: 95 Pt Parker Rated FU 2008 Barossa Shiraz Priced To Clear. 24 Hours.""""","""""8760""""","""""711"""""
101,"""190860","""""3563""""","""""2015-03-24 00:00:00""""","""""All Time Lowest Price For All Gotham Wines"", Regional Shiraz Starting At $7.50 Per Bottle,"" Get It While It Lasts.""""","""""8767""""","""""675"""""
